am=am   a   m   ame   amp   
family=family   familyn   fail   fairly   famili   
fine=fine   ine   fin   fined   finer   
hello=hello   hell   hellos   phello   helo   
hellohowareyou=hellhole   hollowware   yellowware   holloway   flooryou   
hey=hey   he   they   hy   ey   
huohuo=hou   hoo   huh   oho   huhug   
i=i   in   is   it   if   
iamcoming=coming   incoming   among   icing   comings   
maybe=maybe   maye   maybes   mabe   may   
nihao=nia   nao   hao   nha   nihon   
success=success   successi   succes   successa   successor   
today=today   tody   day   toy   tay   
true=true   tre   tru   truce   rue   
we=we   e   w   wet   web   
于是我们=这是   我国   总是   是否   自我   
你好=抓好   做好   美好   最好   正好   
可爱=可爱   爱   可能   不可   可知   
可能=可能   可能性   尽可能   功能   不能   
可能是=可能   可能性   尽可能   可说是   功能   
圣诞快乐=快乐   乐   快   圣   音乐   
多少会错=会   少   多利少   社会   不少   
承诺太多=太多   太   诺   多元   继承   
文本纠错=文本   文   文化   文学   文艺   
未来=未来   未   未来派   未来学   起来   
看见=见   看不见   看得见   来看   看到   
结束=结束   结束语   结   束   结构   
美好=美好   美   审美   美学   美国   
肯尼=尼   肯尼思   肯   肯定   尼采   
肯尼迪=迪   尼   肯尼思   肯   肯定   
英文会慢点=会   文   点   英   文化   
这是why=why   hy   wh   这是   wy   
错误=错误   误   误导   误解   错觉   
非常=非常   非   常   常常   是非   
非常挑战=非常   挑战   非   常   挑战性   
